destination,aspecto,negativo,neutro,positivo,total_tuplas,pct_negativo,pct_neutro,pct_positivo,score_promedio,confianza_promedio,reseñas_unicas,score_normalizado_0_1
Ciudadela de Kuélap,accesibilidad,4.0,189.0,0.0,193.0,0.02072538860103627,0.9792746113989638,0.0,-0.02072538860103627,0.979995827600746,193,0.4896373056994819
Ciudadela de Kuélap,aforo_multitudes,6.0,49.0,0.0,55.0,0.10909090909090909,0.8909090909090909,0.0,-0.10909090909090909,0.9584922400387851,55,0.44545454545454544
Ciudadela de Kuélap,alojamiento,0.0,8.0,2.0,10.0,0.0,0.8,0.2,0.2,0.9260421812534332,10,0.6
Ciudadela de Kuélap,atencion_servicio,3.0,74.0,54.0,131.0,0.022900763358778626,0.5648854961832062,0.4122137404580153,0.3893129770992366,0.8760283598463043,131,0.6946564885496183
Ciudadela de Kuélap,atractivos,7.0,0.0,429.0,436.0,0.016055045871559634,0.0,0.9839449541284404,0.9678899082568807,0.9928923972429485,436,0.9839449541284404
Ciudadela de Kuélap,clima,8.0,43.0,0.0,51.0,0.1568627450980392,0.8431372549019608,0.0,-0.1568627450980392,0.8958381659844342,51,0.4215686274509804
Ciudadela de Kuélap,costos,11.0,71.0,3.0,85.0,0.12941176470588237,0.8352941176470589,0.03529411764705882,-0.09411764705882353,0.9275792486527387,85,0.45294117647058824
Ciudadela de Kuélap,gastronomia,0.0,23.0,0.0,23.0,0.0,1.0,0.0,0.0,0.977072334807852,23,0.5
Ciudadela de Kuélap,limpieza,1.0,0.0,19.0,20.0,0.05,0.0,0.95,0.9,0.9763727635145187,20,0.95
Ciudadela de Kuélap,seguridad,3.0,2.0,16.0,21.0,0.14285714285714285,0.09523809523809523,0.7619047619047619,0.6190476190476191,0.9193242334184193,21,0.8095238095238095
Líneas y Geoglifos de Nasca y Palpa,accesibilidad,0.0,42.0,0.0,42.0,0.0,1.0,0.0,0.0,0.9878691363902319,42,0.5
Líneas y Geoglifos de Nasca y Palpa,aforo_multitudes,5.0,27.0,0.0,32.0,0.15625,0.84375,0.0,-0.15625,0.9629414901137352,32,0.421875
Líneas y Geoglifos de Nasca y Palpa,alojamiento,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.950987446308136,5,0.5
Líneas y Geoglifos de Nasca y Palpa,atencion_servicio,0.0,19.0,10.0,29.0,0.0,0.6551724137931034,0.3448275862068966,0.3448275862068966,0.8440811901256956,29,0.6724137931034483
Líneas y Geoglifos de Nasca y Palpa,atractivos,2.0,0.0,141.0,143.0,0.013986013986013986,0.0,0.986013986013986,0.972027972027972,0.9950898473079388,143,0.986013986013986
Líneas y Geoglifos de Nasca y Palpa,clima,9.0,9.0,0.0,18.0,0.5,0.5,0.0,-0.5,0.9268409113089243,18,0.25
Líneas y Geoglifos de Nasca y Palpa,costos,12.0,22.0,1.0,35.0,0.34285714285714286,0.6285714285714286,0.02857142857142857,-0.3142857142857143,0.9500427450452532,35,0.34285714285714286
Líneas y Geoglifos de Nasca y Palpa,gastronomia,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.9725144704182943,3,0.5
Líneas y Geoglifos de Nasca y Palpa,limpieza,2.0,0.0,2.0,4.0,0.5,0.0,0.5,0.0,0.9587902724742889,4,0.5
Líneas y Geoglifos de Nasca y Palpa,seguridad,1.0,4.0,6.0,11.0,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.45454545454545453,0.8203440281477842,11,0.7272727272727273
Monasterio de Santa Catalina,accesibilidad,3.0,185.0,0.0,188.0,0.015957446808510637,0.9840425531914894,0.0,-0.015957446808510637,0.976551484871418,188,0.4920212765957447
Monasterio de Santa Catalina,aforo_multitudes,9.0,87.0,0.0,96.0,0.09375,0.90625,0.0,-0.09375,0.9780562569697698,96,0.453125
Monasterio de Santa Catalina,alojamiento,0.0,16.0,12.0,28.0,0.0,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.8373157169137683,28,0.7142857142857143
Monasterio de Santa Catalina,atencion_servicio,4.0,222.0,223.0,449.0,0.008908685968819599,0.49443207126948774,0.49665924276169265,0.48775055679287305,0.8686982490172099,449,0.7438752783964365
Monasterio de Santa Catalina,atractivos,3.0,0.0,695.0,698.0,0.004297994269340974,0.0,0.995702005730659,0.9914040114613181,0.9952259173878284,698,0.995702005730659
