destination,aspecto,total_tuplas,reseñas_unicas,confianza_promedio
Santuario Histórico de Machu Picchu,costos,674.0,674,0.8920572090131239
Santuario Histórico de Machu Picchu,gastronomia,125.0,125,0.9447356057167053
Santuario Histórico de Machu Picchu,limpieza,141.0,141,0.8676203793667733
Santuario Histórico de Machu Picchu,seguridad,83.0,83,0.8285890828414135
Valle del Colca,accesibilidad,119.0,119,0.9483664982459125
Valle del Colca,aforo_multitudes,56.0,56,0.8599035441875458
Valle del Colca,alojamiento,37.0,37,0.9534691266111426
Valle del Colca,atencion_servicio,59.0,59,0.8953844702849953
Valle del Colca,atractivos,504.0,504,0.9878593776670713
Valle del Colca,clima,95.0,95,0.8719428890629819
Valle del Colca,costos,42.0,42,0.9474158826328459
Valle del Colca,gastronomia,57.0,57,0.9411242792480871
Valle del Colca,limpieza,34.0,34,0.9540350945556865
Valle del Colca,seguridad,14.0,14,0.9081725627183914
