modelo,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
bert_textcnn,0.6584,0.6512,0.6356,0.6355,0.6644,0.6584,0.6549
tfidf_logistic_regression,0.6262,0.6154,0.6087,0.6032,0.6364,0.6262,0.6232
tfidf_linear_svm,0.6262,0.6152,0.5958,0.5808,0.6357,0.6262,0.6103
tfidf_random_forest,0.6213,0.6249,0.5811,0.5546,0.6374,0.6213,0.5904
tfidf_complement_nb,0.5421,0.6178,0.4742,0.4213,0.6021,0.5421,0.4711
tfidf_naive_bayes,0.5446,0.3542,0.4739,0.4045,0.4009,0.5446,0.4609
majority_class,0.4332,0.1444,0.3333,0.2015,0.1876,0.4332,0.2618
